,ratings,review
146,5,"Excellent phoneThe phone is all what you need and more. I love the face ID and how sensitive it is in this phone, it keeps my wallet secure and at the same time it works in least light possible. The camera is brilliant, with cinematic mode every picture is really beautiful, dont need to be a pro ;) The sound quality is perfect Now its time for business Notes allow me to take pictures of docs and turn it into PDF, and copy form an image and send it via email or paste it anywhere else. I can g...READ MORE"
147,5,"Camera quality, performance, battery ,everything is up to mark.READ MORE"
148,5,Superb CameraREAD MORE
149,5,Just loved this phone.READ MORE
150,3,"In comparison with an android phone, the only thing that bothers me is the UI. It is not so easy to use. There are some some handy features but overall it is not so user friendly. It is also very buggy, especially with the whatsapp. Camera is good but it has little manual control option.It heats up a lot, even in normal usage. And while gaming you can fry an egg on it.Battery is life is decent. It looks great though, simple and clean body design.READ MORE"
151,5,NICE EXPERIENCE OF USING FIRST IOS DEVICE CAMERA IS JUST KILLING DISPLAY IS VERY BRIGHT AND SMOOTH BATTERY IS OVERALL NORMAL ❤️READ MORE
152,5,"Upgraded from 7 plus to 13,It has vibrant display clarity Battery tooooo good,Video smoothness and picture quality Everything is good, price worthy🔥🔥🔥READ MORE"
153,5,Got it in 2 days.so happy with the phone.starlight white is classy n suberb. That premium look is exquisite.Flawless ui... better battery backup.I am satisfied with the purchase.There is no phone like an iPhone :)READ MORE
154,5,FIRST ONE TO REVIEW THIS... BUY IT...ITS IPHONE ..IT JUST WORKSREAD MORE
155,5,"The new iPhone’s display is brighter than its predecessor’s. The battery life is longer. And Apple has improved an already great camera with new sensors and computational photography features that make you feel like a pro (even on a non-Pro phone).Yes, the A15 Bionic powering the iPhone 13 is once again the fastest chip in the land. But it’s more about what this chip lets you do. This includes Cinematic mode, which adds depth of field to your videos while automatically shifting focus, and Ph...READ MORE"
156,5,Permofatic iphone and battery is really great as I am using i6 and i12pmax. I feel the battery performance is bigger than i12pmax. A compact and handy design. Though I missed i13mini in sale but overall a good iphone 13. Go with this type of back covers too.READ MORE
157,5,"This is My first I Phone  yet i am using an android. But my experience of using an iPhone is awesome the camera quality, Display touch and response time. But there is only 1 Bad things about this is it is little bit expensive 😂😂😂READ MORE"
158,5,Camera  is superb 🫡❤️READ MORE
159,5,Superb camera experience 😍READ MORE
160,5,niceREAD MORE
161,5,Worth it for iphone lover. Especially i am in love with camera❤️READ MORE
162,5,Tq so much ❤️🥰READ MORE
163,5,"This is my first Apple product and it's the best decision to switch from Android to ios, the camera is decent, and also the phone is compact performance and the battery is also good.READ MORE"
164,5,Camera quality is superbREAD MORE
